product_ID,name,year,num_parts,price,img_link,primary_color,secondary_color,description,category
11,Fire Rescue Helicopter,2024,85,6,https://www.lego.com/cdn/cs/set/assets/bltd5d0924daab53e4a/60411_alt1.png?format=webply&fit=bounds&quality=75&width=800&height=800&dpr=1,Black,Red,"Send kids’ imaginations skywards with the LEGO® City Fire Rescue Helicopter toy (60411) for ages 5 and over, featuring 2 LEGO water elements launchers, spinnable rotors and a cool cockpit for the firefighter pilot minifigure. Treat your everyday hero to a world of action-packed fire rescue adventures with this fun playset.

Take kids on an exciting building journey with the LEGO Builder app. Here they can explore and save toy playsets, track their own building progress, and zoom in and rotate to view the models from all angles as they build.

LEGO City building sets come with realistic vehicles, feature-rich buildings and inspiring characters for imaginative play without limits. Kids can add this toy fire helicopter set to others (sold separately) from the LEGO City range for even bigger adventures.

Toy fire helicopter for ages 5 and up – LEGO® City Fire Rescue Helicopter building set for action-packed firefighting adventures
What’s in this building set? – Includes everything kids need to build a toy fire rescue helicopter and firefighter pilot minifigure
Imaginative play – Kids can pop the pilot into the opening cockpit, spin the rotors and fire LEGO® water elements from the helicopter’s toy water cannons
Helicopter toy building set with an interactive guide – Discover the LEGO® Builder app where kids can zoom in and rotate models in 3D, track building progress and explore and save virtual playsets
A small LEGO® gift for kids aged 5+ who love creative play – Treat your everyday hero with this fun fire rescue helicopter playset for fans of action-packed play
Endless play possibilities – Kids unleash more fun and adventures when they add this set to others (sold separately) from the LEGO® City Fire range
A city without limits – LEGO® City is a place where kids can set their limitless imaginations free, with structures, vehicles and citizens that motivate them to build, create, explore and play
Dimensions – This 85-piece model helicopter measures over 3.5 in. (9 cm) high, 8.5 in. (22 cm) long and 2.5 in. (6 cm) wide",Vehicle - Flight
12,King Tut,2017,7,4,https://images.brickset.com/sets/large/71017-7.jpg?201611220640,Red,Tan,"King tut is a good figure with great printed dual moulded legs and a 50|50 on the accessories being interesting .

The Minifigure -

The figure has a nice head dress with gold printing , a disgruntled facial expression , a red older style cape , an alright torso , and some great printed legs which are dual moulded and a have interesting side prints .

The accessories -

The accessories include a green snake and a very cool snake head staff . The stand is the standard black CMF stand .",Minifig
13,Coca-Cola Vending Machine,2002,6,8,https://www.brickeconomy.com/resources/images/sets/lego-4465-1_large.jpg,Red,Black,LEGO 4465 Vending Machine was a 7 piece Sports promotional set released in 2002. The set was part of the Coca-Cola football promotion series in 2002,Promotional - Food
14,Zoo Train,2012,12,18,https://images.brickset.com/sets/images/6144-1.jpg?201206040617,Red,Yellow,"Take the giraffe with you in your DUPLO push train!

Attention, the train is leaving! The train driver takes the cute baby giraffe to his new home. Load the cub onto the train and carefully drive the little giraffe to its new home! With DUPLO push train and train driver figure.

With DUPLO train driver figure
Also includes a push pull with trailer
With DUPLO baby giraffe and several basic building blocks
The train has a door that can be opened
Load the giraffe onto the train!
Take the train!
DUPLO products are especially suitable for small hands and offer great building fun
Ideal as a gift for preschoolers
The train is 25 cm long, 6 cm wide and 10 cm high",Vehicle - Train - Animal
15,Motorbike,1999,28,5,https://images.brickset.com/sets/large/1259-1.jpg?199905261030,Yellow,Black,Motorbike is a TECHNIC set released in 1999. It contains 28 pieces. It has a simple rubber band suspension mechanism.,Vehicle - Motorbike
16,Airport,2015,29,17,https://images.brickset.com/sets/large/10590-1.jpg?201409290839,Red,Yellow,"Get ready for take-off at the LEGO® DUPLO® Airport! Build the luggage check-in and make sure your suitcases are taken to the plane. Drive the refueling truck over to fill up the plane. Then help the pilot take his seat and make sure all the passengers are on board ready to fly away. This set will keep any little pilot entertained as they master early building skills and enjoy playing with the two iconic airport vehicles. Use this set to talk to your child about what happens at the airport beforetheir first trip on a plane! DUPLO bricks are brightly colored and designed especially to be safe for smaller hands. Includes three DUPLO figures: a passenger, pilot and an airport worker.

Includes 3 LEGO® DUPLO® figures: a passenger, pilot and an airport worker
Features a buildable plane, buildable refueling vehicle and a luggage check-in desk
Accessories include 2 suitcases, gas pump, wrench, luggage basket and travel decorated brick
Includes extra bricks to extend the building possibilities
Fill the plane up ready for a long flight
Check your luggage in at the desk
Board the plane and fly away!
Create all kinds of role play fun at the Airport with this exciting new set
Help young children master basic building skills
Play out airport routines and air travel before your own holiday adventures
DUPLO products are specially designed to be fun and safe for younger hands
Luggage check-in measures over 6"" (16cm) high, 2"" (6cm) wide and 2"" (6cm) deep
Plane measures over 3"" (10cm) high, 7"" (19cm) long and 7"" (18cm) wide
Refueling vehicle measures over 5"" (14cm) high, 3"" (10cm) long and 1"" (5cm) wide
Makes an ideal addition toany DUPLO Town collection",Flight - Building
17,Surveillance Chopper,1999,30,12,https://images.brickset.com/sets/images/6461-1.jpg,White,Grey,"Item Info
Year Released: 1999
Weight: 58g
Item Dim.: 14.2 x 7.1 x 4.7 cm
Instructions: Yes	Item Consists Of
25 Parts
1 Minifigure",Flight - Vehicle
18,LEGO Solar Cell,1999,1,5,https://images.brickset.com/sets/images/9912-1.jpg?200602191056,Green,Black,9912 LEGO Solar Cell is a Solar Cell to power a LEGO motor. It is included in 9684 Renewable Energy Set II,Part - Energy
19,Battery Box,1976,1,2,https://images.brickset.com/sets/large/108-1.jpg?201004210200,Brown,Brown,A container to hold batteries,Energy - Part
20,4.5V Small Motor With Wheels (Small Version),1966,8,3,https://images.brickset.com/sets/large/100-1.jpg?201609280928,Blue,Red,100 Motor with Wheels and Wire is a Trains Supplementary set released in 1966.,Part - Train - Vehicle
